student_id,fee_balance,financial_aid_status,financial_id,last_updated,last_payment_date,days_overdue
100000,12196.0,No Financial Aid,1,2025-11-20T14:39:33.735778,2025-09-12,0
100001,5683.0,No Financial Aid,2,2025-11-20T14:39:33.735778,2025-10-15,0
100002,13326.0,No Financial Aid,3,2025-11-20T14:39:33.735778,2025-01-30,294
100003,11852.0,No Financial Aid,4,2025-11-20T14:39:33.735778,2025-09-02,0
100004,11542.0,No Financial Aid,5,2025-11-20T14:39:33.735778,2025-09-20,0
100005,9658.0,On Financial Aid,6,2025-11-20T14:39:33.735778,2025-09-02,0
100006,10608.0,No Financial Aid,7,2025-11-20T14:39:33.735778,2025-01-08,316
100007,4904.0,On Financial Aid,8,2025-11-20T14:39:33.735778,2025-11-13,0
100008,11849.0,No Financial Aid,9,2025-11-20T14:39:33.735778,2025-10-14,0
100009,12609.0,On Financial Aid,10,2025-11-20T14:39:33.735778,2025-10-03,0
100010,10060.0,No Financial Aid,11,2025-11-20T14:39:33.735778,2025-02-28,265
100011,13438.0,No Financial Aid,12,2025-11-20T14:39:33.735778,2025-02-03,290
100012,11764.0,On Financial Aid,13,2025-11-20T14:39:33.735778,2025-10-23,0
100013,5302.0,No Financial Aid,14,2025-11-20T14:39:33.735778,2025-10-28,0
100014,9449.0,No Financial Aid,15,2025-11-20T14:39:33.735778,2025-10-22,0
100015,4418.0,No Financial Aid,16,2025-11-20T14:39:33.735778,2025-08-30,0
100016,12112.0,On Financial Aid,17,2025-11-20T14:39:33.735778,2025-10-22,0
100017,14454.0,On Financial Aid,18,2025-11-20T14:39:33.735778,2025-11-10,0
100018,3597.0,No Financial Aid,19,2025-11-20T14:39:33.735778,2025-09-30,0
100019,7703.0,No Financial Aid,20,2025-11-20T14:39:33.735778,2025-11-13,0
100020,10812.0,No Financial Aid,21,2025-11-20T14:39:33.735778,2025-11-01,0
100021,5687.0,No Financial Aid,22,2025-11-20T14:39:33.735778,2025-11-19,0
100022,8078.0,No Financial Aid,23,2025-11-20T14:39:33.735778,2025-10-15,0
100023,12086.0,No Financial Aid,24,2025-11-20T14:39:33.735778,2025-10-14,0
100024,13195.0,No Financial Aid,25,2025-11-20T14:39:33.735778,2025-10-18,0
100025,6405.0,No Financial Aid,26,2025-11-20T14:39:33.735778,2025-09-08,0
100026,11465.0,On Financial Aid,27,2025-11-20T14:39:33.735778,2025-11-14,0
100027,7287.0,No Financial Aid,28,2025-11-20T14:39:33.735778,2025-03-02,263
100028,4442.0,No Financial Aid,29,2025-11-20T14:39:33.735778,2025-10-07,0
100029,8279.0,No Financial Aid,30,2025-11-20T14:39:33.735778,2025-10-14,0
100030,10794.0,On Financial Aid,31,2025-11-20T14:39:33.735778,2025-09-16,0
100031,4176.0,On Financial Aid,32,2025-11-20T14:39:33.735778,2025-01-09,315
100032,12149.0,No Financial Aid,33,2025-11-20T14:39:33.735778,2025-09-24,0
100033,3652.0,On Financial Aid,34,2025-11-20T14:39:33.735778,2025-10-31,0
100034,3232.0,No Financial Aid,35,2025-11-20T14:39:33.735778,2025-11-12,0
100035,4373.0,No Financial Aid,36,2025-11-20T14:39:33.735778,2025-05-04,200
100036,9723.0,No Financial Aid,37,2025-11-20T14:39:33.735778,2025-09-03,0
100037,4252.0,On Financial Aid,38,2025-11-20T14:39:33.735778,2025-10-14,0
100038,3258.0,On Financial Aid,39,2025-11-20T14:39:33.735778,2025-11-09,0
100039,4812.0,No Financial Aid,40,2025-11-20T14:39:33.735778,2025-05-18,186
100040,3825.0,On Financial Aid,41,2025-11-20T14:39:33.735778,2025-03-20,245
100041,11736.0,No Financial Aid,42,2025-11-20T14:39:33.735778,2025-03-29,236
100042,4825.0,No Financial Aid,43,2025-11-20T14:39:33.735778,2025-10-05,0
100043,6111.0,No Financial Aid,44,2025-11-20T14:39:33.735778,2025-09-04,0
100044,6007.0,On Financial Aid,45,2025-11-20T14:39:33.735778,2025-10-03,0
100045,12278.0,On Financial Aid,46,2025-11-20T14:39:33.735778,2025-10-03,0
100046,10826.0,No Financial Aid,47,2025-11-20T14:39:33.735778,2025-11-14,0
100047,3315.0,No Financial Aid,48,2025-11-20T14:39:33.735778,2025-10-20,0
100048,3805.0,No Financial Aid,49,2025-11-20T14:39:33.735778,2025-09-28,0
100049,6349.0,No Financial Aid,50,2025-11-20T14:39:33.735778,2025-10-01,0
100050,3312.0,No Financial Aid,51,2025-11-20T14:39:33.735778,2025-11-17,0
100051,8350.0,No Financial Aid,52,2025-11-20T14:39:33.735778,2025-09-25,0
100052,12330.0,On Financial Aid,53,2025-11-20T14:39:33.735778,2025-10-06,0
100053,7715.0,No Financial Aid,54,2025-11-20T14:39:33.735778,2025-08-28,0
100054,11535.0,No Financial Aid,55,2025-11-20T14:39:33.735778,2025-09-24,0
100055,11598.0,On Financial Aid,56,2025-11-20T14:39:33.735778,2025-09-23,0
100056,11842.0,No Financial Aid,57,2025-11-20T14:39:33.735778,2025-09-05,0
100057,14031.0,No Financial Aid,58,2025-11-20T14:39:33.735778,2025-11-04,0
100058,4948.0,On Financial Aid,59,2025-11-20T14:39:33.735778,2025-08-25,0
100059,10713.0,No Financial Aid,60,2025-11-20T14:39:33.735778,2025-10-03,0
100060,5676.0,No Financial Aid,61,2025-11-20T14:39:33.735778,2025-11-19,0
100061,11391.0,On Financial Aid,62,2025-11-20T14:39:33.735778,2025-09-26,0
100062,5050.0,No Financial Aid,63,2025-11-20T14:39:33.735778,2025-09-15,0
100063,8510.0,No Financial Aid,64,2025-11-20T14:39:33.735778,2025-10-12,0
100064,12528.0,No Financial Aid,65,2025-11-20T14:39:33.735778,2025-10-18,0
100065,6786.0,No Financial Aid,66,2025-11-20T14:39:33.735778,2025-10-24,0
100066,8583.0,No Financial Aid,67,2025-11-20T14:39:33.735778,2025-09-28,0
100067,4967.0,No Financial Aid,68,2025-11-20T14:39:33.735778,2025-10-27,0
100068,4068.0,No Financial Aid,69,2025-11-20T14:39:33.735778,2024-12-12,343
100069,5909.0,No Financial Aid,70,2025-11-20T14:39:33.735778,2024-11-26,359
100070,8632.0,No Financial Aid,71,2025-11-20T14:39:33.735778,2025-11-11,0
100071,13547.0,No Financial Aid,72,2025-11-20T14:39:33.735778,2025-10-26,0
100072,6448.0,No Financial Aid,73,2025-11-20T14:39:33.735778,2025-09-04,0
100073,8293.0,On Financial Aid,74,2025-11-20T14:39:33.735778,2025-08-31,0
100074,9064.0,On Financial Aid,75,2025-11-20T14:39:33.735778,2025-11-03,0
100075,13950.0,On Financial Aid,76,2025-11-20T14:39:33.735778,2025-05-10,194
100076,9927.0,On Financial Aid,77,2025-11-20T14:39:33.735778,2025-10-25,0
100077,6306.0,On Financial Aid,78,2025-11-20T14:39:33.735778,2025-11-17,0
100078,4652.0,On Financial Aid,79,2025-11-20T14:39:33.735778,2025-09-18,0
100079,3585.0,No Financial Aid,80,2025-11-20T14:39:33.735778,2025-04-13,221
100080,6605.0,No Financial Aid,81,2025-11-20T14:39:33.735778,2025-04-05,229
100081,13357.0,No Financial Aid,82,2025-11-20T14:39:33.735778,2025-08-30,0
100082,4430.0,On Financial Aid,83,2025-11-20T14:39:33.735778,2025-09-07,0
100083,10427.0,No Financial Aid,84,2025-11-20T14:39:33.735778,2025-11-19,0
100084,10947.0,No Financial Aid,85,2025-11-20T14:39:33.735778,2025-09-17,0
100085,11349.0,No Financial Aid,86,2025-11-20T14:39:33.735778,2025-09-06,0
100086,5238.0,No Financial Aid,87,2025-11-20T14:39:33.735778,2025-09-24,0
100087,5504.0,On Financial Aid,88,2025-11-20T14:39:33.735778,2025-08-24,0
100088,14685.0,No Financial Aid,89,2025-11-20T14:39:33.735778,2025-11-11,0
100089,11129.0,No Financial Aid,90,2025-11-20T14:39:33.735778,2025-08-31,0
100090,4232.0,No Financial Aid,91,2025-11-20T14:39:33.735778,2025-09-07,0
100091,8583.0,No Financial Aid,92,2025-11-20T14:39:33.735778,2025-11-10,0
100092,10422.0,No Financial Aid,93,2025-11-20T14:39:33.735778,2025-10-22,0
100093,11571.0,No Financial Aid,94,2025-11-20T14:39:33.735778,2025-10-25,0
100094,10044.0,No Financial Aid,95,2025-11-20T14:39:33.735778,2025-10-24,0
100095,9330.0,On Financial Aid,96,2025-11-20T14:39:33.735778,2024-12-28,327
100096,8245.0,On Financial Aid,97,2025-11-20T14:39:33.735778,2025-10-13,0
100097,11625.0,On Financial Aid,98,2025-11-20T14:39:33.735778,2025-11-01,0
100098,13520.0,No Financial Aid,99,2025-11-20T14:39:33.735778,2025-10-16,0
100099,12072.0,No Financial Aid,100,2025-11-20T14:39:33.735778,2025-10-15,0
100100,14947.0,On Financial Aid,101,2025-11-20T14:39:33.735778,2025-09-15,0
100101,5723.0,No Financial Aid,102,2025-11-20T14:39:33.735778,2025-09-17,0
100102,8299.0,No Financial Aid,103,2025-11-20T14:39:33.735778,2025-09-12,0
100103,14974.0,No Financial Aid,104,2025-11-20T14:39:33.735778,2025-09-10,0
100104,6616.0,On Financial Aid,105,2025-11-20T14:39:33.735778,2025-04-06,228
100105,13985.0,No Financial Aid,106,2025-11-20T14:39:33.735778,2025-09-15,0
100106,7612.0,On Financial Aid,107,2025-11-20T14:39:33.735778,2025-10-04,0
100107,1441.51,No Financial Aid,108,2025-11-20T14:39:33.735778,2025-10-18,0
100108,3028.6,No Financial Aid,109,2025-11-20T14:39:33.735778,2025-10-04,0
100109,4466.43,No Financial Aid,110,2025-11-20T14:39:33.735778,2025-11-19,0
100110,2261.23,No Financial Aid,111,2025-11-20T14:39:33.735778,2025-09-10,0
100111,3676.87,On Financial Aid,112,2025-11-20T14:39:33.735778,2025-09-09,0
100112,1883.2,On Financial Aid,113,2025-11-20T14:39:33.735778,2025-08-22,0
100113,3697.36,On Financial Aid,114,2025-11-20T14:39:33.735778,2025-10-22,0
100114,4725.08,On Financial Aid,115,2025-11-20T14:39:33.735778,2025-09-20,0
100115,4956.52,On Financial Aid,116,2025-11-20T14:39:33.735778,2025-10-09,0
100116,4950.5,On Financial Aid,117,2025-11-20T14:39:33.735778,2025-10-21,0
100117,1197.94,No Financial Aid,118,2025-11-20T14:39:33.735778,2025-02-10,283
100118,2447.82,On Financial Aid,119,2025-11-20T14:39:33.735778,2025-10-24,0
100119,4237.44,On Financial Aid,120,2025-11-20T14:39:33.735778,2025-11-03,0
100120,2732.83,No Financial Aid,121,2025-11-20T14:39:33.735778,2025-10-11,0
100121,1588.73,On Financial Aid,122,2025-11-20T14:39:33.735778,2025-10-26,0
100122,2561.82,No Financial Aid,123,2025-11-20T14:39:33.735778,2024-12-30,325
100123,2983.14,No Financial Aid,124,2025-11-20T14:39:33.735778,2025-10-15,0
100124,3510.24,No Financial Aid,125,2025-11-20T14:39:33.735778,2025-10-01,0
100125,1303.23,On Financial Aid,126,2025-11-20T14:39:33.735778,2025-11-11,0
100126,3711.79,On Financial Aid,127,2025-11-20T14:39:33.735778,2025-03-29,236
100127,1772.33,No Financial Aid,128,2025-11-20T14:39:33.735778,2025-11-10,0
100128,4146.56,No Financial Aid,129,2025-11-20T14:39:33.735778,2025-10-31,0
100129,2416.11,No Financial Aid,130,2025-11-20T14:39:33.735778,2025-10-10,0
100130,3444.08,No Financial Aid,131,2025-11-20T14:39:33.735778,2025-02-08,285
100131,3239.65,No Financial Aid,132,2025-11-20T14:39:33.735778,2025-10-18,0
100132,1655.75,On Financial Aid,133,2025-11-20T14:39:33.735778,2025-01-19,305
100133,2424.42,No Financial Aid,134,2025-11-20T14:39:33.735778,2025-09-01,0
100134,4904.02,On Financial Aid,135,2025-11-20T14:39:33.735778,2025-10-05,0
100135,4715.26,No Financial Aid,136,2025-11-20T14:39:33.735778,2025-10-16,0
100136,3329.88,On Financial Aid,137,2025-11-20T14:39:33.735778,2025-10-23,0
100137,3142.27,No Financial Aid,138,2025-11-20T14:39:33.735778,2025-10-29,0
100138,2516.01,No Financial Aid,139,2025-11-20T14:39:33.735778,2024-12-08,347
100139,2684.4,On Financial Aid,140,2025-11-20T14:39:33.735778,2025-11-17,0
100140,3484.59,On Financial Aid,141,2025-11-20T14:39:33.735778,2025-11-16,0
100141,4352.45,No Financial Aid,142,2025-11-20T14:39:33.735778,2025-10-28,0
100142,3042.83,On Financial Aid,143,2025-11-20T14:39:33.735778,2025-11-16,0
100143,2062.55,No Financial Aid,144,2025-11-20T14:39:33.735778,2025-08-23,0
100144,5614.39,On Financial Aid,145,2025-11-20T14:39:33.735778,2025-10-12,0
100145,1838.25,No Financial Aid,146,2025-11-20T14:39:33.735778,2025-08-23,0
100146,1842.59,No Financial Aid,147,2025-11-20T14:39:33.735778,2025-09-30,0
100147,2493.27,On Financial Aid,148,2025-11-20T14:39:33.735778,2025-10-02,0
100148,4848.56,No Financial Aid,149,2025-11-20T14:39:33.735778,2025-09-18,0
